"S.","Title","Location","Date","Area","Incident.Area","Open.Close.Location","Target","Cause","Summary","Shooter.status","No..of.shooter.suspect","Fatalities","Injured","Total.victims","Policeman.Killed","Age","Employeed..Y.N.","Employed.at","Mental.Health.Issues","Race","Gender","Latitude","Longitude","Month","Year","Day","MJ.Summary","Prior.MH","MH.Details","Legal.Weapons","Obtained.Where","Weapon.Type","Weapon.Details","Main.Source","MH.Source","Extra.Source","Shooting.Type","State"
58,"Fort Lauderdale revenge shooting","Fort Lauderdale, Florida","02/09/96","Workplace","-999","-999","Ex-Coworkers","Anger","Fired city park employee Clifton McCree, 41, opened fire on former coworkers he called ""racist devils"" inside their municipal trailer in an act of revenge after failing a drug test. He then committed suicide.","committed suicide","one",6,1,7,0,"41",0,"-999","Yes","Black, Black American or African American","Male",26.1223084,-80.1433786,2,1996,9,"Fired city park employee Clifton McCree, 41, opened fire on former coworkers he called ""racist devils"" inside their municipal trailer in an act of revenge after failing a drug test. He then committed suicide.","Yes","Co-workers complained about his threats and verbal abuse. His supervisors asked him to get a psychiatric evaluation. He lost his job, which relatives said drove his depression.","Yes","Unknown","One semiautomatic handgun, one revolver","9mm Glock semiautomatic handgun; .32-caliber revolver","http://www.nytimes.com/1996/02/11/us/florida-killer-said-victims-were-racists-police-say.html; http://articles.sun-sentinel.com/1996-02-10/news/9602090635_1_million-firearms-multiple-guns-reloading","http://articles.sun-sentinel.com/1996-02-11/news/9602110026_1_beach-crew-maintenance-fort-lauderdale","http://www.nytimes.com/1996/02/11/us/florida-killer-said-victims-were-racists-police-say.html; http://articles.sun-sentinel.com/1996-02-10/news/9602090635_1_million-firearms-multiple-guns-reloading","Spree","Florida"
59,"Windy City Core Supply Warehouse","Chicago, Illinois","08/27/03","Current Workplace","Warehouse","Close","Coworkers","Unemployement","On August 27, 2003, a 36-year-old former employee of Windy City Core Supply in Chicago, Illinois arrived at the warehouse in which he used to work and began shooting at the supervisors that fired him and other coworkers, killing six. He was later killed in a shoot-out with the police.","killed","one",6,0,6,0,"36",0,"-999","No","Other","Male",41.83928045,-87.68818145,8,2003,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Illinois"
60,"Birchwood, Wisconsin","Birchwood, Wisconsin","11/21/04","Public area","forests of Birchwood","Open","hunters","Anger","On November 21, 2004, a 36-year-old man hunting with companions in the forests of Birchwood, Wisconsin, encountered a group of hunters and began arguing with them over a deer stand that had apparently been on private land. He then opened fire on the hunters as a result of the confrontation, killing six and wounding two others before being arrested five hours later.","arrested","one",6,2,8,0,"36",-999,"-999","No","Asian or Asian American","Male",45.65773714,-91.55077175,11,2004,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wisconsin"
61,"Amish school shooting","Lancaster County, Pennsylvania","10/02/06","School","Bart Township","Close","school girls","Terrorism","Charles Carl Roberts, 32, shot 10 young girls in a one-room schoolhouse in Bart Township, killing 5, before taking his own life. /On October 2, 2006, a 32-year old men killed five schoolgirls and seriously wounded five others in West Nickel Amish School in Nickel Mines, Pennsylvania before taking his own life. Before the shooting, the gunman separated the students by gender and age, letting go males and adults before locking the school. He ended up committing suicide before police broke into the school.","committed suicide","one",6,5,11,0,"32",-999,"-999","No","White, White American or European American","Male",39.9589,-76.0806,10,2006,2,"Charles Carl Roberts, 32, shot 10 young girls in a one-room schoolhouse in Bart Township, killing 5, before taking his own life.","No","He told his wife that he'd molested two young relatives 20 years ago. ","Yes","Local stores in Nickel Mines, Penn. ","One semiautomatic handgun, one rifle, one shotgun","Springfield semiautomatic handgun; .30-06 Ruger bolt-action rifle; 12-gauge Browning pump-action shotgun","http://news.google.com/newspapers?id=O8oyAAAAIBAJ&sjid=YSUEAAAAIBAJ&pg=6143,1260138&dq=charles+carl+roberts+mentally+ill&hl=en;http://www.msnbc.msn.com/id/15105305/ns/us_news-crime_and_courts/t/th-girl-dies-after-amish-schoolhouse-shooting/#.UFD4SxhgspQ; http://www.foxnews.com/story/0,2933,217170,00.html","http://www.cnn.com/2006/US/10/03/amish.shooting/index.html","http://news.google.com/newspapers?id=O8oyAAAAIBAJ&sjid=YSUEAAAAIBAJ&pg=6143,1260138&dq=charles+carl+roberts+mentally+ill&hl=en;http://www.msnbc.msn.com/id/15105305/ns/us_news-crime_and_courts/t/th-girl-dies-after-amish-schoolhouse-shooting/#.UFD4SxhgspQ; http://www.foxnews.com/story/0,2933,217170,00.html","Mass","Pennsylvania"
62,"Crandon shooting","Crandon, Wisconsin","10/07/07","Home","Home","Close","party guests","Anger","Off-duty sheriff's deputy Tyler Peterson, 20, opened fire inside an apartment after an argument at a homecoming party. He fled the scene and later committed suicide. /In the early hours of October 7, 2007, a 20-year-old off-duty sheriff's deputy at a homecoming after party opened fire on houseguests possibly after a dispute with his girlfriend. He killed six and wounded another before fleeing the scene and committing suicide.","committed suicide","one",6,1,7,0,"20",1,"Deputy Sheriff","No","White, White American or European American","Male",45.5719072,-88.9028922,10,2007,7,"Off-duty sheriff's deputy Tyler Peterson, 20, opened fire inside an apartment after an argument at a homecoming party. He fled the scene and later committed suicide.","Unclear","The families of victims filed a wrongful death lawsuit against the county arguing that the police department should have evaluated the gunman's mental health before hiring him.","Yes","Issued by Forest County Sheriff's Department","One rifle (assault)","AR-15 SWAT semiautomatic rifle","http://www.rivernewsonline.com/main.asp?SectionID=6&SubSectionID=47&ArticleID=368; http://news.google.com/newspapers?id=O-MqAAAAIBAJ&sjid=u0UEAAAAIBAJ&pg=6724,5434155&dq=crandon+shooting&hl=en","http://www.rivernewsonline.com/main.asp?SectionID=6&SubSectionID=47&ArticleID=368","http://www.rivernewsonline.com/main.asp?SectionID=6&SubSectionID=47&ArticleID=368; http://news.google.com/newspapers?id=O-MqAAAAIBAJ&sjid=u0UEAAAAIBAJ&pg=6724,5434155&dq=crandon+shooting&hl=en","Mass","Wisconsin"
63,"Carnation, Washington","Carnation, Washington","12/24/07","Home","Home","Close","Family","Domestic","On December 24, 2007, an unemployed woman and her boyfriend, both aged 29, shot the woman's father in regards to a financial dispute in his home in Carnation, Washington. The couple then shot the woman's mother before her brother, his wife and children arrived, upon which the couple shot and killed all four. They were later arrested in the home.","arrested","one",6,0,6,0,"29",0,"-999","No","White, White American or European American","Male and Female",47.64628742,-121.9088524,12,2007,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Washington"
64,"Atlantis Plastics shooting","Henderson, Kentucky","06/25/08","Current Workplace","Atlantis Plastics Factory","Close","Coworkers","Anger","On June 25, 2008, a 25-year-old factory worker at Atlantis Plastics in Henderson, Kentucky had been reprimanded by a supervisor and escorted out of his workplace. He returned with a gun and began shooting, killing his supervisor, five employees and wounded a sixth before committing suicide.","committed suicide","one",6,1,7,0,"25",1,"Atlantis Plastics","No","White, White American or European American","Male",37.84040411,-87.57853755,6,2008,25,"Disgruntled employee Wesley Neal Higdon, 25, shot up an Atlantis Plastics factory after he was escorted out of his workplace for an argument with a supervisor. Higdon shot the supervisor outside the factory before opening fire on coworkers inside. He then committed suicide.","No","He called his girlfriend two hours before the shooting to say he was going to kill his boss.","Yes","Unknown","One semiautomatic handgun",".45-caliber Hi-Point semiautomatic handgun","http://www.foxnews.com/story/0,2933,371242,00.html; http://www.msnbc.msn.com/id/25393695/ns/us_news-crime_and_courts/t/witnesses-describe-chaotic-scene-ky-plant/#.UFEbHhhgspQ","http://www.foxnews.com/story/0,2933,371242,00.html","http://www.foxnews.com/story/0,2933,371242,00.html; http://www.msnbc.msn.com/id/25393695/ns/us_news-crime_and_courts/t/witnesses-describe-chaotic-scene-ky-plant/#.UFEbHhhgspQ","Spree","Kentucky"
65,"Tucson shooting","Tucson, Arizona","01/08/11","Current Workplace","Other","Open","Congresswoman","Terrorism","Jared Loughner, 22, opened fire outside a Safeway during a constituent meeting with Congresswoman Gabrielle Giffords (D-Ariz.) before he was subdued by bystanders and arrested.","arrested","one",6,13,19,0,"22",-999,"-999","Yes","White, White American or European American","Male",32.2217429,-110.926479,1,2011,8,"Jared Loughner, 22, opened fire outside a Safeway during a constituent meeting with Congresswoman Gabrielle Giffords (D-Ariz.) before he was subdued by bystanders and arrested.","Yes","His symptoms pointed to various possible mental illness diagnoses, such as schizophrenia and delusional disorder. He also experimented with pot and hallucinogens.","Yes","Sportsmen's Warehouse in Tucson, Ariz.","One semiautomatic handgun","9mm Glock 19 semiautomatic handgun","http://www.time.com/time/magazine/article/0,9171,2042358,00.html; http://www.csmonitor.com/USA/Politics/2011/0110/Why-Jared-Loughner-was-allowed-to-buy-a-gun; http://www.nytimes.com/2011/01/09/us/politics/09giffords.html?ref=jaredleeloughner","http://www.time.com/time/magazine/article/0,9171,2042358,00.html","http://www.time.com/time/magazine/article/0,9171,2042358,00.html; http://www.csmonitor.com/USA/Politics/2011/0110/Why-Jared-Loughner-was-allowed-to-buy-a-gun; http://www.nytimes.com/2011/01/09/us/politics/09giffords.html?ref=jaredleeloughner","Mass","Arizona"
66,"Seattle cafe shooting","Seattle, Washington","05/20/12","Public area","Other","Open+Close","random","Psycho","Ian Stawicki, 40, gunned down four patrons at a cafe, and another person during a carjacking nearby, then shot himself as police closed in. (He died later that day in a Seattle hospital.)","committed suicide","one",6,1,7,0,"40",-999,"-999","Yes","White, White American or European American","Male",47.6038321,-122.3300624,5,2012,20,"Ian Stawicki, 40, gunned down four patrons at a cafe, and another person during a carjacking nearby, then shot himself as police closed in. (He died later that day in a Seattle hospital.)","Yes","His family said he was mentally ill","Yes","Bull's Eye Shooter Supply in Tacoma, Wash.","Two semiautomatic handguns","Two .45-caliber semiautomatic handguns","http://usnews.nbcnews.com/_news/2012/05/30/11959312-six-killed-in-seattle-shootings-including-suspect?lite; http://www.cbsnews.com/8301-201_162-57445177/seattle-shooting-hero-hurled-stools-at-gunman-ian-stawicki-saved-three-lives/?pageNum=2&tag=contentMain;contentBody; http://content.usatoday.com/communities/ondeadline/post/2012/05/seattle-killer-had-concealed-carry-permit-owned-6-guns/1#.UFI9shhgspQ","http://usnews.nbcnews.com/_news/2012/05/30/11959312-six-killed-in-seattle-shootings-including-suspect?lite","http://usnews.nbcnews.com/_news/2012/05/30/11959312-six-killed-in-seattle-shootings-including-suspect?lite; http://www.cbsnews.com/8301-201_162-57445177/seattle-shooting-hero-hurled-stools-at-gunman-ian-stawicki-saved-three-lives/?pageNum=2&tag=contentMain;contentBody; http://content.usatoday.com/communities/ondeadline/post/2012/05/seattle-killer-had-concealed-carry-permit-owned-6-guns/1#.UFI9shhgspQ","Mass","Washington"
67,"Sikh Temple in Wisconsin","Oak Creek, Wisconsin","08/05/12","Temple","Sikh Temple","Close","-999","Religion/Race Related","On August 5, 2012, a 40-year old US Army veteran and white supremacist opened fire in a Sikh Temple in Oak Creek, Wisconsin fatally shooting six people and wounded four others. The shooter took his life by shooting himself after he was shot in the stomach by a responding police officer. His girlfriend had broken up with him very recently.","committed suicide","one",6,4,10,0,"40",1,"Army veteran","No","White, White American or European American","Male",42.88027442,-87.90087079,8,2012,5,"U.S. Army veteran Wade Michael Page, 40, opened fire in a Sikh gurdwara before he died from a self-inflicted gunshot would during a shootout with police.","Yes","His Army friends once broke into his apartment, fearing he'd commit suicide in the '90s. A psychiatric nurse who lived downstairs from Page said it was ""obvious"" he had a mental illness.","Yes","Unknown","One semiautomatic handgun","9mm Springfield Armory XDM semiautomatic handgun","http://www.jsonline.com/news/milwaukee/friend-of-page-feared-what-he-might-do-426edmg-165668826.html; http://usnews.nbcnews.com/_news/2012/09/10/13785426-officer-arriving-at-sikh-temple-shooting-time-to-use-deadly-force?lite; http://articles.latimes.com/2012/aug/08/nation/la-na-nn-sikh-shooting-guns-20120807; http://www.bbc.co.uk/news/world-us-canada-19183359","http://www.jsonline.com/news/milwaukee/friend-of-page-feared-what-he-might-do-426edmg-165668826.html","http://www.jsonline.com/news/milwaukee/friend-of-page-feared-what-he-might-do-426edmg-165668826.html; http://usnews.nbcnews.com/_news/2012/09/10/13785426-officer-arriving-at-sikh-temple-shooting-time-to-use-deadly-force?lite; http://articles.latimes.com/2012/aug/08/nation/la-na-nn-sikh-shooting-guns-20120807; http://www.bbc.co.uk/news/world-us-canada-19183359","Mass","Wisconsin"
68,"Accent Signage Systems in Minneapolis","Minneapolis, Minnesota","09/27/12","Former Workplace","Accent Signage Systems Building","Close","Ex-Coworkers","Unemployement","Andrew Engeldinger, 36, upon learning he was being fired, went on a shooting rampage, killing the business owner, three fellow employees, and a UPS driver. He then killed himself.","committed suicide","one",6,2,8,0,"36",0,"-999","Yes","White, White American or European American","Male",44.96358722,-93.26783687,9,2012,27,"Andrew Engeldinger, 36, upon learning he was being fired, went on a shooting rampage, killing the business owner, three fellow employees, and a UPS driver. He then killed himself.","Yes","His family worried about his ""paranoia and delusions"" for at least two years prior, and tried to get him to seek treatment.","Yes","Unknown","One semiautomatic handgun","9mm Glock semiautomatic handgun","http://www.startribune.com/local/171774461.html?refer=y","http://www.startribune.com/local/171774461.html?refer=y","http://www.startribune.com/local/171774461.html?refer=y","Mass","Minnesota"
69,"Village of Manchester in Illinois","Manchester, Illinois","04/24/13","Home","Home","Close","partner's family","Anger","On April 24, 2013, a 43-year old man traveled to the home of his former partner's family in Manchester, Illinois. He shot and killed three adults (one  of them pregnant), a boy, and an infant, all members of the same family. There was a third child who, after shooting her, the shooter took to a neighbor's house; she survived the incident. The shooter was then chased by the police by car. The car chase resulted in a shootout between the two. The shooter was shot and killed by the police.","killed","one",6,1,7,0,"43",-999,"-999","-999","White, White American or European American","Male",39.54231335,-90.33029852,4,2013,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Illinois"
70,"Isla Vista mass murder","Santa Barbara, California","05/23/14","Public area","-999","Open+Close","random","Psycho","Elliot Rodger, 22, shot three people to death in the college town of Isla Vista near the University of California, Santa Barbara. He also shot others as he drove around town, and injured others by striking them with is vehicle. He committed suicide by shooting himself in his car as police closed in. Prior to the rampage, Rodger stabbed three people to death at his apartment.","committed suicide","one",6,13,19,0,"22",-999,"-999","Yes","White, White American or European American","Male",34.436283,-119.8714406,5,2014,23,"Elliot Rodger, 22, shot three people to death in the college town of Isla Vista near the University of California, Santa Barbara. He also shot others as he drove around town, and injured others by striking them with is vehicle. He committed suicide by shooting himself in his car as police closed in. Prior to the rampage, Rodger stabbed three people to death at his apartment.","Yes","Rodger was never hospitalized due to mental illness, but had a long history of mental health issues dating back to his childhood, and received treatment from multiple counselors leading up to his rampage. According to The Independent, Rodger had considered suicide but had no history of violence. Just before his rampage, he sent a 137-page manifesto to multiple people.","Yes","-","Three semi-automatic handguns and two hunting knives","Two Sig Sauer P226 semiautomatic pistols and Glock 34 pistol, and hundreds of rounds of ammo. A 6- inchand 8-inch “SRK” and “Boar Hunter” hunting knives. ","http://www.sbsheriff.us/documents/ISLAVISTAINVESTIGATIVESUMMARY.pdf Also: http://www.cnn.com/2014/05/24/us/santa-barbara-isla-vista-shooting-profile/ and http://www.cnn.com/2014/05/24/justice/california-shooting-deaths/index.html and http://www.independent.com/news/2015/feb/20/elliot-rodger-report-details-long-struggle-mental-/ and http://www.cbsnews.com/videos/how-was-elliot-rodger-able-to-purchase-weapons/ and http://www.dailymail.co.uk/news/article-2638922/Santa-Barbara-rampage-killer-bought-three-handguns-legally-gun-shop.html","-","http://www.sbsheriff.us/documents/ISLAVISTAINVESTIGATIVESUMMARY.pdf Also: http://www.cnn.com/2014/05/24/us/santa-barbara-isla-vista-shooting-profile/ and http://www.cnn.com/2014/05/24/justice/california-shooting-deaths/index.html and http://www.independent.com/news/2015/feb/20/elliot-rodger-report-details-long-struggle-mental-/ and http://www.cbsnews.com/videos/how-was-elliot-rodger-able-to-purchase-weapons/ and http://www.dailymail.co.uk/news/article-2638922/Santa-Barbara-rampage-killer-bought-three-handguns-legally-gun-shop.html","Mass","California"
71,"Pennsburg, Souderton, Lansdale, Harleysville","Pennsburg, Souderton, Lansdale, Harleysville, Pennsylvania","12/15/14","Home","Multiple Homes","Close","Ex-Wife & Family","Psycho","Early in the morning on December 15, 2014, a man entered the Souderton home of his ex-wife's sister and killed her, her husband, and her two children. He then went to a Lansdale residence and shot his ex-wife's mother and grandmother. He proceeded to his ex-wife's home in Lower Salford where he fatally shot her and took their two daughters to another location. Nearly two days later the was found dead from a drug overdose.","committed suicide","one",6,1,7,0,"-999",-999,"-999","Yes","White, White American or European American","Male",40.39359306,-75.49640881,12,2014,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pennsylvania"
72,"Tennessee Colony, Texas","Tennessee Colony, Texas","11/15/15","Public area","private campsite","Open","random","Unknown","On Sunday of November 15, 2015, six people are dead after a weekend homicide at a private campsite. The bodies of a man and woman were found in a travel trailer. The bodies of four males, who were initially considered missing, were later recovered about 1:15 p.m. Monday in a pond on the suspect's residence. ","-999","-999",6,0,6,0,"-999",-999,"-999","-999","White, White American or European American","Male",31.8076,-95.8069,11,2015,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Texas"
73,"Kalamazoo Uber Driver Spree Killing","Kalamazoo, Michigan","02/20/16","Public area","-999","Open","random","Unknown","On Saturday evening of February 20, 2016, the gunman (who is a Uber driver) shot eight people in three different parts of the county. For nearly five hours Saturday, the shooter drove from one target to another, gunning down victims at random. And in between the shootings, he apparently picked up passengers for Uber.","arrested","one",6,2,8,0,"-999",1,"uber","No","White, White American or European American","Male",42.291707,-85.587229,2,2016,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Michigan"
74,"Pittsburgh, Pennsylvania","Pittsburgh, Pennsylvania","03/09/16","Public area","backyard of a house","Open","random","Terrorism","Two gunmen working as a team fatally shot five people including a pregnant woman and critically wounded two others at a backyard cookout, with one attacker using a high-velocity rifle to shoot all the victims in the head as they were driven his direction. Authorities later ruled the death of the woman’s 8-month-old fetus a homicide and raised the number of fatalities to six.","-999","two",6,3,9,0,"-999",-999,"-999","-999","-999","Male",40.440625,-79.995886,3,2016,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pennsylvania"
75,"Rose-Mar College of Beauty","Mesa, Arizona","11/12/66","School","Rose-Mar College of Beauty","Close","random","Terrorism","On November 12, 1966, an 18-year-old high school student entered the Rose-Mar College of Beauty in Mesa, Arizona, ordering his victims to lay on the ground in a circle. The gunman shot and killed four women and a child and injured another woman and an infant. He considered a few sites, like his school, where he thought of wiping out the teachers. Finally, he settled on the Rose-Mar College of Beauty, where he thought he'd get a nice large group of victims.","-999","one",5,2,7,0,"18",-999,"-999","Yes","White, White American or European American","Male",33.42268696,-111.8163202,11,1966,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arizona"
76,"Cleveland Elementary School","Stockton, California","01/17/89","School","Cleveland Elementary School","Close","Students+Teachers","Terrorism","On January 17, 1989, an unemployed 24-year-old man arrived to Cleveland Elementary School in Stockton, California. He set his car on fire in the parking lot, before entering the school to begin shooting. The shooter killed five students and injured thirty others including a teacher, before killing himself./Patrick Purdy, 26, an alcoholic with a police record, launched an assault at Cleveland Elementary School, where many young Southeast Asian immigrants were enrolled. Purdy killed himself with a shot to the head.","committed suicide","one",5,30,35,0,"26",0,"-999","Yes","White, White American or European American","Male",37.96631812,-121.3018775,1,1989,17,"Patrick Purdy, 26, an alcoholic with a police record, launched an assault at Cleveland Elementary School, where many young Southeast Asian immigrants were enrolled. Purdy killed himself with a shot to the head.","Yes","He told a mental health professional he was ""struggling to resist actions on thoughts which are destructive in nature."" He also suffered from alcoholism. ","Yes","Sandy Trading Post in Sandy, Ore.; Hunter Loan and Jewelry Co. in Stockton, Calif.","One semiautomatic handgun, one rifle (assault)","9mm Taurus semiautomatic handgun; AK-47 Chinese variant semiautomatic rifle","http://www.recordnet.com/apps/pbcs.dll/article?AID=/20090118/A_NEWS/901170304; http://news.google.com/newspapers?id=N8IzAAAAIBAJ&sjid=kDIHAAAAIBAJ&pg=6930,6475926&dq=patrick+purdy&hl=en; http://www.time.com/time/magazine/article/0,9171,151105,00.html","http://www.recordnet.com/apps/pbcs.dll/article?AID=/20090118/A_NEWS/901170304","http://www.recordnet.com/apps/pbcs.dll/article?AID=/20090118/A_NEWS/901170304; http://news.google.com/newspapers?id=N8IzAAAAIBAJ&sjid=kDIHAAAAIBAJ&pg=6930,6475926&dq=patrick+purdy&hl=en; http://www.time.com/time/magazine/article/0,9171,151105,00.html","Mass","California"
77,"University of Iowa","Iowa City, Iowa","11/01/91","School","University of lowa","Close","Coworkers","Anger","On November 1, 1991, a 28-year-old astrophysics researcher opened fire on academics at a meeting at the University of Iowa in Iowa City. The shooter fatally wounded three professors on his dissertation committee, an academic affairs officer, and the researcher who received the award he felt he deserved, and as well as paralyzing a student employee before committing suicide.","committed suicide","one",5,1,6,0,"28",1,"University of lowa","No","Asian or Asian American","Male",41.65589405,-91.53117986,11,1991,1,"Former graduate student Gang Lu, 28, went on a rampage on campus and then committed suicide at the scene.","Unclear","He was described as darkly disturbed and isolated.","Yes","Fin & Feather in Iowa City, Iowa","One revolver",".38-caliber Taurus revolver","http://www.nytimes.com/1991/11/03/us/gunman-in-iowa-wrote-of-plans-in-five-letters.html?pagewanted=all&src=pm; http://thegazette.com/2011/11/01/gang-lu-shootings-at-ui-remembered-20-years-later/; http://www.nytimes.com/1991/11/04/us/iowa-gunman-was-torn-by-academic-challenge.html?pagewanted=2&src=pm","http://www.nytimes.com/1991/11/03/us/gunman-in-iowa-wrote-of-plans-in-five-letters.html?pagewanted=all&src=pm","http://www.nytimes.com/1991/11/03/us/gunman-in-iowa-wrote-of-plans-in-five-letters.html?pagewanted=all&src=pm; http://thegazette.com/2011/11/01/gang-lu-shootings-at-ui-remembered-20-years-later/; http://www.nytimes.com/1991/11/04/us/iowa-gunman-was-torn-by-academic-challenge.html?pagewanted=2&src=pm","Spree","Iowa"
78,"Walter Rossler Company","Corpus Christi, Texas","04/03/95","Former Workplace","Workplace","Close","Coworkers","Anger","On April 3, 1995, a disgruntled former metallurgist of the Walter Rossler Company in Corpus Christi, Texas entered the office and began shooting. He killed three employees, the owner and his wife before killing himself in another room./ Disgruntled former metallurgist James Daniel Simpson, 28, opened fire throughout the Walter Rossler Company where he had worked before exiting the building and committing suicide.","committed suicide","one",5,0,5,0,"28",1,"Walter Rossler","No","-999","Male",27.73907518,-97.43073352,4,1995,3,"Disgruntled former metallurgist James Daniel Simpson, 28, opened fire throughout the Walter Rossler Company where he had worked before exiting the building and committing suicide.","No","He was likely angry because he was given an assignment at work he didn't like. But acquaintances didn't know why he'd come back and kill.","Yes","Unknown","One semiautomatic handgun, one revolver","9mm Ruger semiautomatic handgun; .32-caliber revolver","http://web.caller.com/2000/april/03/today/local_ne/4127.html","http://web.caller.com/2000/april/03/today/local_ne/4127.html","http://web.caller.com/2000/april/03/today/local_ne/4127.html","Mass","Texas"
79,"Caltrans Maintenance Yard","Orange, California","12/18/97","Former Workplace","Workplace","Close","Ex-Coworkers","Unemployement","On December 18, 1997, a 41-year-old recently fired Caltrans employee arrived to his former office and began shooting at his former coworkers and supervisors. He killed four employees and wounded another and a police officer before being killed by police.","killed","one",5,2,7,1,"41",0,"-999","No","Other","Male",33.78935598,-117.820412,12,1997,18,"Former Caltrans employee Arturo Reyes Torres, 41, opened fire at a maintenance yard after he was fired for allegedly selling government materials he'd stolen from work. He was shot dead by police.","No","He was disgruntled after being fired. ","Yes","B&B Gun Sales in Orange County, Calif.","One rifle (assault)","7.62mm AK-47 Chinese variant semiautomatic rifle","http://articles.latimes.com/1997/dec/20/news/mn-431; http://articles.latimes.com/1997/dec/22/local/me-1156; http://www.vpc.org/studies/wgun971218.htm; http://news.google.com/newspapers?id=DitZAAAAIBAJ&sjid=LEcNAAAAIBAJ&pg=6705,2243998&dq=arturo+reyes+torres+caltrans&hl=en","http://articles.latimes.com/1997/dec/20/news/mn-431","http://articles.latimes.com/1997/dec/20/news/mn-431; http://articles.latimes.com/1997/dec/22/local/me-1156; http://www.vpc.org/studies/wgun971218.htm; http://news.google.com/newspapers?id=DitZAAAAIBAJ&sjid=LEcNAAAAIBAJ&pg=6705,2243998&dq=arturo+reyes+torres+caltrans&hl=en","Spree","California"
80,"Westside Middle School killings","Jonesboro, Arkansas","03/24/98","School","School","Close","Students+Teachers","Unknown","Mitchell Scott Johnson, 13, and Andrew Douglas Golden, 11, two juveniles, ambushed students and teachers as they left the school; they were apprehended by police at the scene.","arrested","two",5,10,15,0,"11",-999,"-999","No","White, White American or European American","Male",35.8209895,-90.6682606,3,1998,24,"Mitchell Scott Johnson, 13, and Andrew Douglas Golden, 11, two juveniles, ambushed students and teachers as they left the school; they were apprehended by police at the scene.","No","Boys displayed unruly and aggressive behavior. They picked on kids and made threats about killing people. ","No","Stolen from grandfather and father","Two semiautomatic handguns, two rifles, three revolvers, two derringers","FIE 380, .380-caliber Star semiautomatic handguns; .44 Magnum Ruger, .30-06 Remington 742, .30-caliber Universal M-1 carbine replica rifles; .38-caliber Charter Arms, .357-caliber Ruger Security Six, .38-caliber Smith & Wesson revolvers; .22-caliber Double Deuce Buddie two-shot, .38-caliber Davis Industries two-shot derringers","http://www.vpc.org/studies/wgun980324.htm","http://www.nytimes.com/1998/03/29/us/from-wild-talk-and-friendship-to-five-deaths-in-a-schoolyard.html?sec=&spon=&pagewanted=all","http://www.vpc.org/studies/wgun980324.htm; https://www.nytimes.com/1998/04/18/us/jonesboro-dazed-by-its-darkest-day.html","Mass","Arkansas"
81,"Radisson Bay Harbor Inn","Tampa, Florida","12/30/99","Current Workplace","Workplace","Open+Close","Coworkers","Unknown","On December 30, 1999, a 36-year-old employee of the Radisson Bay Harbor Inn in Tampa, Florida arrived at his place of work and began shooting his coworkers, killing four and wounding three others. He fled the scene and attempted to steal a vehicle, killing the woman inside before being arrested. / Hotel employee Silvio Leyva, 36, gunned down four coworkers at the Radisson Bay Harbor Inn before killing a woman outside who refused to give him her car. He was arrested shortly after the shootings.","arrested","one",5,3,8,0,"36",1,"Radisson Bay Harbor Inn","-999","Latino","Male",27.99601861,-82.44503769,12,1999,30,"Hotel employee Silvio Leyva, 36, gunned down four coworkers at the Radisson Bay Harbor Inn before killing a woman outside who refused to give him her car. He was arrested shortly after the shootings.","Yes","His brother called him ""unbalanced"" and mentally ill.","Yes","One purchased from Big E's in Tampa, Fla.","One semiautomatic handgun, one revolver","9mm Lorcin semiautomatic handgun; .38-caliber Charter Arms revolver","http://www.sptimes.com/News/123000/news_pf/TampaBay/A_year_later__the_str.shtml; http://www.vpc.org/studies/wgun991230.htm; http://news.google.com/newspapers?id=CSUdAAAAIBAJ&sjid=ZaYEAAAAIBAJ&pg=2043,2634069&dq=silvio+leyva+shooting&hl=en","http://www.sptimes.com/News/123000/news_pf/TampaBay/A_year_later__the_str.shtml","http://www.sptimes.com/News/123000/news_pf/TampaBay/A_year_later__the_str.shtml; http://www.vpc.org/studies/wgun991230.htm; http://news.google.com/newspapers?id=CSUdAAAAIBAJ&sjid=ZaYEAAAAIBAJ&pg=2043,2634069&dq=silvio+leyva+shooting&hl=en","Spree","Florida"
