S#,Title,Location,Date,Area,Incident Area,Open/Close Location,Target,Cause,Summary,Shooter status,No. of shooter/suspect,Fatalities,Injured,Total victims,Policeman Killed,Age,Employeed (Y/N),Employed at,Mental Health Issues,Race,Gender,Latitude,Longitude
61,Amish school shooting,"Lancaster County, Pennsylvania",10/02/06,School,Bart Township,Close,school girls,terrorism,"Charles Carl Roberts, 32, shot 10 young girls in a one-room schoolhouse in Bart Township, killing 5, before taking his own life. /On October 2, 2006, a 32-year old men killed five schoolgirls and seriously wounded five others in West Nickel Amish School in Nickel Mines, Pennsylvania before taking his own life. Before the shooting, the gunman separated the students by gender and age, letting go males and adults before locking the school. He ended up committing suicide before police broke into the school.",committed suicide,one,6,5,11,0,32,-999,-999,No,"White, White American or European American",Male,39.9589,-76.0806
62,Crandon shooting,"Crandon, Wisconsin",10/07/07,Home,Home,Close,party guests,anger,"Off-duty sheriff's deputy Tyler Peterson, 20, opened fire inside an apartment after an argument at a homecoming party. He fled the scene and later committed suicide. /In the early hours of October 7, 2007, a 20-year-old off-duty sheriff's deputy at a homecoming after party opened fire on houseguests possibly after a dispute with his girlfriend. He killed six and wounded another before fleeing the scene and committing suicide.",committed suicide,one,6,1,7,0,20,1,Deputy Sheriff,No,"White, White American or European American",Male,45.5719072,-88.9028922
63,"Carnation, Washington","Carnation, Washington",12/24/07,Home,Home,Close,Family,domestic disputer,"On December 24, 2007, an unemployed woman and her boyfriend, both aged 29, shot the woman's father in regards to a financial dispute in his home in Carnation, Washington. The couple then shot the woman's mother before her brother, his wife and children arrived, upon which the couple shot and killed all four. They were later arrested in the home.",arrested,one,6,0,6,0,29,0,-999,No,"White, White American or European American",Male and Female,47.64628742,-121.9088524
64,Atlantis Plastics shooting,"Henderson, Kentucky",06/25/08,Current Workplace,Atlantis Plastics Factory,Close,Coworkers,anger,"On June 25, 2008, a 25-year-old factory worker at Atlantis Plastics in Henderson, Kentucky had been reprimanded by a supervisor and escorted out of his workplace. He returned with a gun and began shooting, killing his supervisor, five employees and wounded a sixth before committing suicide.",committed suicide,one,6,1,7,0,25,1,Atlantis Plastics,No,"White, White American or European American",Male,37.84040411,-87.57853755
65,Tucson shooting,"Tucson, Arizona",01/08/11,Current Workplace,Other,Open,Congresswoman,terrorism,"Jared Loughner, 22, opened fire outside a Safeway during a constituent meeting with Congresswoman Gabrielle Giffords (D-Ariz.) before he was subdued by bystanders and arrested.",arrested,one,6,13,19,0,22,-999,-999,Yes,"White, White American or European American",Male,32.2217429,-110.926479
66,Seattle cafe shooting,"Seattle, Washington",05/20/12,Public area,Other,Open+Close,random,psycho,"Ian Stawicki, 40, gunned down four patrons at a cafe, and another person during a carjacking nearby, then shot himself as police closed in. (He died later that day in a Seattle hospital.)",committed suicide,one,6,1,7,0,40,-999,-999,Yes,"White, White American or European American",Male,47.6038321,-122.3300624
67,Sikh Temple in Wisconsin,"Oak Creek, Wisconsin",08/05/12,Temple,Sikh Temple,Close,-999,racism,"On August 5, 2012, a 40-year old US Army veteran and white supremacist opened fire in a Sikh Temple in Oak Creek, Wisconsin fatally shooting six people and wounded four others. The shooter took his life by shooting himself after he was shot in the stomach by a responding police officer. His girlfriend had broken up with him very recently.",committed suicide,one,6,4,10,0,40,1,Army veteran,No,"White, White American or European American",Male,42.88027442,-87.90087079
68,Accent Signage Systems in Minneapolis,"Minneapolis, Minnesota",09/27/12,Former Workplace,Accent Signage Systems Building,Close,Ex-Coworkers,unemployement,"Andrew Engeldinger, 36, upon learning he was being fired, went on a shooting rampage, killing the business owner, three fellow employees, and a UPS driver. He then killed himself.",committed suicide,one,6,2,8,0,36,0,-999,Yes,"White, White American or European American",Male,44.96358722,-93.26783687
69,Village of Manchester in Illinois,"Manchester, Illinois",04/24/13,Home,Home,Close,partner's family,anger,"On April 24, 2013, a 43-year old man traveled to the home of his former partner's family in Manchester, Illinois. He shot and killed three adults (one  of them pregnant), a boy, and an infant, all members of the same family. There was a third child who, after shooting her, the shooter took to a neighbor's house; she survived the incident. The shooter was then chased by the police by car. The car chase resulted in a shootout between the two. The shooter was shot and killed by the police.",killed,one,6,1,7,0,43,-999,-999,-999,"White, White American or European American",Male,39.54231335,-90.33029852
70,Isla Vista mass murder,"Santa Barbara, California",05/23/14,Public area,-999,Open+Close,random,psycho,"Elliot Rodger, 22, shot three people to death in the college town of Isla Vista near the University of California, Santa Barbara. He also shot others as he drove around town, and injured others by striking them with is vehicle. He committed suicide by shooting himself in his car as police closed in. Prior to the rampage, Rodger stabbed three people to death at his apartment.",committed suicide,one,6,13,19,0,22,-999,-999,Yes,"White, White American or European American",Male,34.436283,-119.8714406
71,"Pennsburg, Souderton, Lansdale, Harleysville","Pennsburg, Souderton, Lansdale, Harleysville, Pennsylvania",12/15/14,Home,Multiple Homes,Close,Ex-Wife & Family,psycho,"Early in the morning on December 15, 2014, a man entered the Souderton home of his ex-wife's sister and killed her, her husband, and her two children. He then went to a Lansdale residence and shot his ex-wife's mother and grandmother. He proceeded to his ex-wife's home in Lower Salford where he fatally shot her and took their two daughters to another location. Nearly two days later the was found dead from a drug overdose.",committed suicide,one,6,1,7,0,-999,-999,-999,Yes,"White, White American or European American",Male,40.39359306,-75.49640881
72,"Tennessee Colony, Texas","Tennessee Colony, Texas",11/15/15,Public area,private campsite,Open,random,-999,"On Sunday of November 15, 2015, six people are dead after a weekend homicide at a private campsite. The bodies of a man and woman were found in a travel trailer. The bodies of four males, who were initially considered missing, were later recovered about 1:15 p.m. Monday in a pond on the suspect's residence. ",-999,-999,6,0,6,0,-999,-999,-999,-999,"White, White American or European American",Male,31.8076,-95.8069
73,Kalamazoo Uber Driver Spree Killing,"Kalamazoo, Michigan",02/20/16,Public area,-999,Open,random,-999,"On Saturday evening of February 20, 2016, the gunman (who is a Uber driver) shot eight people in three different parts of the county. For nearly five hours Saturday, the shooter drove from one target to another, gunning down victims at random. And in between the shootings, he apparently picked up passengers for Uber.",arrested,one,6,2,8,0,-999,1,uber,No,"White, White American or European American",Male,42.291707,-85.587229
74,"Pittsburgh, Pennsylvania","Pittsburgh, Pennsylvania",03/09/16,Public area,backyard of a house,Open,random,terrorism,"Two gunmen working as a team fatally shot five people including a pregnant woman and critically wounded two others at a backyard cookout, with one attacker using a high-velocity rifle to shoot all the victims in the head as they were driven his direction. Authorities later ruled the death of the woman’s 8-month-old fetus a homicide and raised the number of fatalities to six.",-999,two,6,3,9,0,-999,-999,-999,-999,-999,Male,40.440625,-79.995886
75,Rose-Mar College of Beauty,"Mesa, Arizona",11/12/66,School,Rose-Mar College of Beauty,Close,random,terrorism,"On November 12, 1966, an 18-year-old high school student entered the Rose-Mar College of Beauty in Mesa, Arizona, ordering his victims to lay on the ground in a circle. The gunman shot and killed four women and a child and injured another woman and an infant. He considered a few sites, like his school, where he thought of wiping out the teachers. Finally, he settled on the Rose-Mar College of Beauty, where he thought he'd get a nice large group of victims.",-999,one,5,2,7,0,18,-999,-999,Yes,"White, White American or European American",Male,33.42268696,-111.8163202
76,Cleveland Elementary School,"Stockton, California",01/17/89,School,Cleveland Elementary School,Close,Students+Teachers,terrorism,"On January 17, 1989, an unemployed 24-year-old man arrived to Cleveland Elementary School in Stockton, California. He set his car on fire in the parking lot, before entering the school to begin shooting. The shooter killed five students and injured thirty others including a teacher, before killing himself./Patrick Purdy, 26, an alcoholic with a police record, launched an assault at Cleveland Elementary School, where many young Southeast Asian immigrants were enrolled. Purdy killed himself with a shot to the head.",committed suicide,one,5,30,35,0,26,0,-999,Yes,"White, White American or European American",Male,37.96631812,-121.3018775
77,University of Iowa,"Iowa City, Iowa",11/01/91,School,University of lowa,Close,Coworkers,frustration,"On November 1, 1991, a 28-year-old astrophysics researcher opened fire on academics at a meeting at the University of Iowa in Iowa City. The shooter fatally wounded three professors on his dissertation committee, an academic affairs officer, and the researcher who received the award he felt he deserved, and as well as paralyzing a student employee before committing suicide.",committed suicide,one,5,1,6,0,28,1,University of lowa,No,Asian or Asian American,Male,41.65589405,-91.53117986
78,Walter Rossler Company,"Corpus Christi, Texas",04/03/95,Former Workplace,Workplace,Close,Coworkers,anger,"On April 3, 1995, a disgruntled former metallurgist of the Walter Rossler Company in Corpus Christi, Texas entered the office and began shooting. He killed three employees, the owner and his wife before killing himself in another room./ Disgruntled former metallurgist James Daniel Simpson, 28, opened fire throughout the Walter Rossler Company where he had worked before exiting the building and committing suicide.",committed suicide,one,5,0,5,0,28,1,Walter Rossler,No,-999,Male,27.73907518,-97.43073352
79,Caltrans Maintenance Yard,"Orange, California",12/18/97,Former Workplace,Workplace,Close,Ex-Coworkers,unemployement,"On December 18, 1997, a 41-year-old recently fired Caltrans employee arrived to his former office and began shooting at his former coworkers and supervisors. He killed four employees and wounded another and a police officer before being killed by police.",killed,one,5,2,7,1,41,0,-999,No,Other,Male,33.78935598,-117.820412
80,Westside Middle School killings,"Jonesboro, Arkansas",03/24/98,School,School,Close,Students+Teachers,-999,"Mitchell Scott Johnson, 13, and Andrew Douglas Golden, 11, two juveniles, ambushed students and teachers as they left the school; they were apprehended by police at the scene.",arrested,two,5,10,15,0,11,-999,-999,No,"White, White American or European American",Male,35.8209895,-90.6682606
81,Radisson Bay Harbor Inn,"Tampa, Florida",12/30/99,Current Workplace,Workplace,Open+Close,Coworkers,-999,"On December 30, 1999, a 36-year-old employee of the Radisson Bay Harbor Inn in Tampa, Florida arrived at his place of work and began shooting his coworkers, killing four and wounding three others. He fled the scene and attempted to steal a vehicle, killing the woman inside before being arrested. / Hotel employee Silvio Leyva, 36, gunned down four coworkers at the Radisson Bay Harbor Inn before killing a woman outside who refused to give him her car. He was arrested shortly after the shootings.",arrested,one,5,3,8,0,36,1,Radisson Bay Harbor Inn,-999,Latino,Male,27.99601861,-82.44503769
82,Navistar International,"Melrose Park, Illinois",02/05/01,Former Workplace,Navistar in Melrose Park,Close,Coworkers,unemployement,"On February 5, 2001, a 66-year-old fired employee arrived at his former workplace at Navistar in Melrose Park, Illinois with firearms, forced his way past security and began shooting at supervisors and coworkers before committing suicide. He had been scheduled to begin a prison sentence the next day on charges of stealing from his employer.",committed suicide,one,5,4,9,0,66,0,-999,No,"Black, Black American or African American",Male,41.90289602,-87.8643021
83,Trolley Square,"Salt Lake City, Utah",02/12/07,Public area,Trolley Square,Open,random,religious radicalism,"On February 12, 2007, an 18-year-old refugee and high school drop out in Salt Lake City, Utah arrived at Trolley Square and began shooting at the crowd. He killed five and wounded four others before being shot and killed by police. The incident was thought to be an attack of religious radicalism.",killed,one,5,4,9,0,18,-999,-999,-999,"White, White American or European American",Male,40.77787404,-111.9312168
84,Kirkwood City Hall,"Kirkwood, Missouri",02/07/08,City Hall,City Hall Building,Open+Close,Policeman+Council Member,terrorism,"On February 7, 2008, a 52-year-old construction worker entered the City Hall building in Kirkwood, Missouri and opened fire on a police officer, taking the officer's gun and continuing on to the commencing city council meeting. He began shooting at the council members and reporters, killing five and wounding two others before being killed by police. The mayor suffered wounds that he died from several months later. /Charles ""Cookie"" Lee Thornton, 52, went on a rampage at the city hall before being shot and killed by police.",killed,one,5,2,7,0,52,1,-999,No,"Black, Black American or African American",Male,38.57889169,-90.42023754
85,Northern Illinois University shooting,"DeKalb, Illinois",02/14/08,School,Lecture Hall,Close,Students,terrorism,"Steven Kazmierczak, 27, opened fire in a lecture hall, then shot and killed himself before police arrived.",committed suicide,one,5,21,26,0,27,-999,-999,Yes,"White, White American or European American",Male,41.9294736,-88.7503647
86,"Rivermark, Santa Clara, California","Santa Clara, California",03/29/09,Home,Home,Close,Family,psycho,"On March 29, 2009, a 42-year-old web analytics technician for Yahoo! in Santa Clara, California began shooting in his home. He killed his two children, his brother-in-law, sister-in-law, and their infant daughter before committing suicide. He was found to have a growing brain tumor during the autopsy.",committed suicide,one,5,1,6,0,42,1,Yahoo,No,Asian or Asian American,Male,37.36463172,-121.9679315
87,IHOP shooting,"Carson City, Nevada",09/06/11,Restaurant,International House of Pancakes Restaurant,Close,random,terrorism,"Eduardo Sencion, 32, opened fire at an International House of Pancakes restaurant and later died from a self-inflicted gunshot wound. /On September 6, 2011, a 32-year old man arrived at a local strip mall in Carson City, Nevada. He got out and shot and wounded a man on a motorcycle. He then walked inside the center's IHOP restaurant and shot eleven people, four of them fatally. Then he left the restaurant and began shooting into nearby businesses, injuring no one. When police arrived, the shooter turned the gun of himself.",committed suicide,one,5,7,12,0,32,-999,-999,Yes,Latino,Male,39.1637984,-119.7674034
88,Ensley Birmingham,"Birmingham, Alabama",01/29/12,Home,Home,Close,random,terrorism,"Three teenagers attempted to rob a house in the early morning of January 29, 2012. Five people were in the house playing cards, and each was shot to death in the back of the head; four of their bodies were found naked in bedroom, and one had been shot 12 times.",-999,group,5,0,5,0,-999,-999,-999,No,"Black, Black American or African American",Male,33.5282865,-86.79550448
89,Su Jung Health Sauna shooting,"Norcross, Georgia",02/22/12,"Salon, Spa",Spa,Close,Family,anger,"Jeong Soo Paek, 59, returned to a Korean spa from which he'd been kicked out after an altercation. He gunned down two of his sisters and their husbands before committing suicide.",committed suicide,one,5,0,5,0,59,-999,-999,Yes,Asian or Asian American,Male,33.9412127,-84.2135309
90,Cafe in Seattle,"Seattle, Washington",05/30/12,Restaurant,-999,Close,random,psycho,"On May 30, 2012, a 40-year old man went to a coffee shop in Seattle, Washington, where he was asked to leave due to his belligerent behaviour the previous week. The man opened fire and killed four people and injured another one. He then fled and later killed a female motorist, taking off with her SUV. Five hours later, while he was being confronted by police, he killed himself with a gunshot.",committed suicide,one,5,1,6,0,40,-999,-999,Yes,"White, White American or European American",Male,47.62199575,-122.323646
91,South Valley Residence,"Albuquerque, New Mexico",01/19/13,Home,Home,Close,Family,psycho,"On January 19, 2013, a 15-year old homeschooled student shot and killed his mother and three younger siblings in their residential home in South Valley, New Mexico. The shooter then waited up five hours for his father, a former pastor, to arrive home. When the father got home, the son shot him several times and killed him. Apparently, he was planning to go on a killing spree afterwards. Instead he went to church and was later arrested.",arrested,one,5,0,5,0,15,-999,-999,Yes,Other,Male,35.15290522,-106.7791378
92,Mohawk Valley shootings,"Herkimer County, New York",03/13/13,Public area,Other,Open+Close,random,psycho,"Kurt Myers, 64, shot six people in neighboring towns, killing two in a barbershop and two at a car care business, before being killed by officers in a shootout after a nearly 19-hour standoff. / On March 13, 2013, an unemployed 64-year old man set his apartment on fire in Mohawk village, New York, before he went into a local barbershop and shot four people, killing two and wounding two others. Afterwards, the shooter drove to Herkimer village, where he shot and killed to other people at a local car servicing business. After the rampage, he holed up in an abandoned building where he had a standoff with police for 18 hours until he was shot and killed.",-999,one,5,2,7,-999,64,-999,-999,No,"White, White American or European American",Male,43.045601,-74.984891
93,Santa Monica College,"Santa Monica, California",06/07/13,Home + Public Area,Other,Open+Close,random,psycho,"On June 7, 2013, a 23-year old killed his father and brother at their family home and then set the home on fire in Santa Monica, California. He then forced a motorist to drive him to the Santa Monica College campus. On his way there he fired at commuters. During a 13-minute shooting spree spanning roughly 1.5 miles he killed three other people and three others wounded by gun shot. The shooter was killed by the police in the Santa Monica College library.",killed,one,5,3,8,0,23,-999,-999,Yes,"White, White American or European American",Male,34.02319149,-118.4815644
94,LaGrange,"LaGrange, Georgia",01/28/15,Home,Home,Close,Family,psycho,"On January 28, 2015, in a Georgia home, a man shot three family members and one friend, and strangled his daughter in law. All five died. He left town with the family's dog, and police arrested him several days later.",arrested,one,5,0,5,0,-999,-999,-999,No,"White, White American or European American",Male,33.03607062,-85.0287065
95,Chattanooga military recruitment center,"Chattanooga, Tennessee",07/16/15,Navy area,Military,Open,Marines,terrorism,"Kuwaiti-born Mohammod Youssuf Abdulazeez, 24, a naturalized US citizen, opened fire at a Naval reserve center, and then drove to a military recruitment office where he shot and killed four Marines and a Navy service member, and wounded a police officer and another military service member. He was then fatally shot in an exchange of gunfire with law enforcement officers responding to the attack. / Four Marines were shot dead Thursday after a gunman brazenly opened fire on two  military facilities in Chattanooga, Tennessee. The shooter was also killed and three people including a police officer were injured.",killed,one,5,2,7,0,24,-999,-999,Yes,"White, White American or European American",Male,35.047157,-85.311819
96,"Platte, South Dakota","Platte, South Dakota",09/17/15,Home,Home,Close,Family,-999,"The six members of a South Dakota family found dead in the ruins of their burned home were fatally shot, with one death believed to be a suicide. All six members of the shooter's family died of shotgun wounds.",committed suicide,one,5,0,5,0,-999,-999,-999,-999,"White, White American or European American",Male,43.38682722,-98.84357239
97,"Chesapeake, Virginia","Chesapeake, Virginia",01/27/16,Home,Home,Close,Family,psycho,"A Virginia man shot his brother dead in their family home, then killed four other relatives in a nearby house before turning the gun on himself Wednesday. He killed his brother in their house around 3:35 p.m. He then went to the house belonging to his grandmother and murdered more relatives ? father, mother, sister, and an unidentified female.",committed suicide,one,5,0,5,0,-999,-999,-999,Yes,"White, White American or European American",Male,36.7921,-76.3293
98,Kansas City Home Invasion,"Kansas City, Missouri",03/07/16,Home,Home,Close,neighbors,neighbors conflict,"Four people were found dead Monday night in a home in Kansas City, Kansas. A fifth man was shot to death Tuesday in Missouri. The shooter lives in a house next door to the home where four people were found shot Monday night. The shooter and the neighbors are all familiar with each other.",-999,one,5,0,5,0,-999,-999,-999,-999,Other,Male,39.114053,-94.627464
99,Wilkinsburg BBQ cookout shootout,"Pittsburgh, Pennsylvania",03/09/16,Public area,backyard of a house,Open,random,terrorism,"A family was having a cookout in the backyard of a house when two gunmen came and started shooting. There is one suspected target, but 5 people were killed, including one pregnant woman. The two gunmen fled the scene and have not been identified.",got away,two,5,3,8,0,-999,-999,-999,-999,-999,Male,40.441736,-79.881994
100,Dallas police shooting,"Dallas, Texas",07/07/16,Public area,at protest,Open,police,racism,"Micah Xavier Johnson, a 25-year-old Army veteran, targeted police at a peaceful Black Lives Matter protest, killing five officers and injuring nine others as well as two civilians. After a prolonged standoff in a downtown building, law enforcement killed Johnson using a robot-delivered bomb.",killed,one,5,11,16,5,25,-999,Army veteran,-999,"Black, Black American or African American",Male,32.7801052,-96.8000082
101,Cascade Mall shooting,"Burlington, Washington",09/23/16,Shop/store,cosmetics section of a Macyâ€™s department store,Close,women,terrorism,"Arcan Cetin, 20, killed a teen girl and three women in the cosmetics section of a Macyâ€™s department store at the Cascade Mall. A man was critically wounded in the shooting and taken to Harborview Medical Center in Seattle, where he died. Cetin was apprehended by police a few hours after the shooting while driving a car near his residence. ",arrested,one,5,0,5,-999,20,-999,-999,Yes,-999,Male,48.461367,-122.337918
102,Fort Lauderdale airport shooting,"Fort Lauderdale, Florida",01/06/17,Airport,baggage claim area of the airport,Close,random,terrorism,"Esteban Santiago, 26, flew from Alaska to Fort Lauderdale, where he opened fire in the baggage claim area of the airport, killing five and wounding six before police aprehended him. ",arrested,one,5,6,11,-999,26,-999,-999,Yes,Latino,Male,26.072751,-80.143382
103,Florida awning manufacturer shooting,"Orlando, Florida",06/05/17,Former Workplace,manufacturer Fiamma Inc.,Close,coworkers,unemployement,"John Robert Neumann, Jr., 45, a former employee of manufacturer Fiamma Inc. fatally shot five workers at the company, and then killed himself on the scene. He'd been fired from the company in April. The attack took place a week before the one-year anniversary of the Orlando nightclub massacre.",committed suicide,one,5,0,5,-999,45,1,manufacturer Fiamma Inc.,-999,-999,Male,28.580295,-81.294086
104,Rancho Tehama shooting spree,"Rancho Tehama, California",11/14/17,Public area,Other,-999,-999,-999,"Kevin Janson Neal, 44, went on an approximately 45-minute shooting spree in the rural community of Rancho Tehama Reserve in Northern California, including shooting up an elementary school, before being killed by law enforcement officers. Neal had also killed his wife at home.",killed,one,5,10,15,-999,44,-999,-999,-999,"White, White American or European American",Male,40.018759,-122.393089
105,Capital Gazette shooting,"Annapolis, Maryland",06/28/18,Workplace,Workplace,-999,-999,-999,"Jarrod W. Ramos, 38, shot through the glass doors of the paperâ€™s newsroom around 3pm to carry out his attack; police quickly responding to the scene found him hiding under a desk and apprehended him. Ramos had harbored a longstanding grudge against the paper over a 2011 column that had detailed his guilty plea for the harassment of a former female classmate. Ramos had sued the paper for defamation and lost.",arrested,one,5,2,7,-999,38,-999,-999,-999,"White, White American or European American",Male,38.994548,-76.543657
106,T&T Trucking shooting,"Bakersfield, California",09/12/18,Former Workplace,Workplace,-999,-999,-999,"Javier Casarez, 54, who was going through a bitter divorce, went on a shooting spree targeting his ex-wife and former coworkers at the trucking company. His attack included fatally shooting one victim who he pursued to a nearby sporting goods retailer, and two others at a private residence. After then carjacking a woman who was driving with a child (and letting the two go), Casarez fatally shot himself as law enforcement officials closed in on him.",committed suicide,one,5,0,5,-999,54,-999,-999,-999,Latino,Male,35.349388,-118.916335
107,SunTrust bank shooting,"Sebring, Florida",01/23/19,Workplace,Workplace,-999,-999,-999,"Zephen A. Xaver, 21, fatally shot five women inside a bank and then called the police to confess. He was armed with a handgun and wore a bulletproof vest. He reportedly ordered the women to lie down on the floor and shot them execution-style. After a standoff with police, he surrendered and was taken into custody. A week prior, Xaver had quit a job as a prison guard trainee, and authorities said they believed the shooting was ""a random act"" and that roberry did not appear to be a motive. An ex-girlfriend in Indiana told local media she'd been â€œscared for yearsâ€ by Xaverâ€™s talk of violence and death, but that her warnings to others (who she did not identify) were not taken seriously. She said sheâ€™d first met Xaver in a psychiatric hospital in 2013. In March 2017, Michigan State Police documented an incident in which Xaver indicated he was â€œpossibly thinking of suicide by cop and taking hostages.""",arrested,one,5,0,5,-999,21,-999,-999,Yes,"White, White American or European American",Male,27.471043,-81.45847
108,Harry Pratt Co. warehouse shooting,"Aurora, Illinois",02/15/19,Current Workplace,Workplace,-999,-999,-999,"Gary Martin, 45, went on a rampage inside the warehouse in response to being fired from his job and died soon thereafter in a shootout with police. Among his victims were five dead coworkers and five injured police officers. Martin had a felony record and lengthy history of domestic violence; he was able to obtain a gun despite having had his Illinois firearms ownership identification card revoked. According to a report from prosecutors, Martin told a co-worker the morning of the shooting that if he was fired he was going to kill employees and police.",arrested,one,5,6,11,-999,45,-999,-999,Yes,"Black, Black American or African American",Male,41.753725,-88.331057
109,Comet Auto Parts and Montefiore School,"Chicago, Illinois",09/22/88,Public area,-999,Open+Close,random,terrorism,"On September 22, 1988, a 40-year-old Vietnam veteran shot and killed two employees at a Comet Auto Parts in Chicago, Illinois before heading to the Montefiore School to continue the shooting. He injured a city worker and fatally wounded a custodian at the school before he was discovered by police. The shooter opened fire on the officers, injuring one and killing another.",arrested,one,4,2,6,1,40,-999,-999,No,"Black, Black American or African American",Male,41.83928045,-87.68818145
110,Royal Oak Post Office,"Royal Oak, Michigan",11/14/91,Former Workplace,Post Office in Royal Oak,Close,Ex-Coworkers,unemployement,"On November 14, 1991, a 31-year old former postal worker opened fire at the post office in Royal Oak, Michigan, his former workplace. He killed his four supervisors and wounded five co-workers before committing suicide.",committed suicide,one,4,5,9,0,31,0,-999,Yes,"White, White American or European American",Male,42.50840203,-83.15387427
111,Lindhurst High School,"Olivehurst, California",05/01/92,School,Lindhurst High School,Close,Students+Teachers,failing exams,"On May 1, 1992, a 20-year-old former student of Lindhurst High School in Olivehurst, California began shooting at students and teachers in classrooms. Seeking revenge for a failing grade, the shooter first killed the teacher who gave him that grade, later killing three students and injuring ten others before being arrested. ",arrested,one,4,10,14,0,20,-999,-999,Yes,"White, White American or European American",Male,39.08174985,-121.5549539
112,Schuyler County Office Building,"Watkins Glen, New York",10/15/92,County Office,County Office Building,Close,Social Workers,frustration,"On October 15, 1992, a 50-year-old truck driver, upset about his wages being garnished for back-payments of child support, entered the Schuyler County Office Building in Watkins Glen, New York. He killed four female social workers before committing suicide.",committed suicide,one,4,0,4,0,50,1,-999,No,"White, White American or European American",Male,42.38013875,-76.86724659
113,Luigi's Restaurant in Fayetteville,"Fayetteville, North Carolina",08/06/93,Restaurant,Luigi's Restaurant,Close,random,anger,"On August 6, 1993, a 22-year old army sergeant opened fire inside Luigi's Restaurant in Fayetteville, North Carolina, killing four people and injuring eight more. The shooter was ranting about gays in the military before he was shot and arrested by police.",arrested,one,4,8,12,0,22,1,Army,No,"White, White American or European American",Male,35.07997086,-79.03796125
114,Chuck E. Cheese in Aurora,"Aurora, Colorado",12/14/93,Former Workplace,Chuck E. Cheese,Close,Ex-Coworkers,unemployement,"On December 14, 1993, a 19-year-old fired Chuck E. Cheese's employee in Aurora, Colorado visited his former workplace and waited until closing to confront his ex-coworkers. He then opened fire, killing three teenaged employees, one 50-year-old employee, and wounding another before being arrested.",arrested,one,4,1,5,0,19,0,-999,Yes,"Black, Black American or African American",Male,39.69892933,-104.7871863
115,"Residence in Union, Kentucky","Union, Kentucky",05/26/94,Home + School,Home+School,Close,random,psycho,"On May 26, 1994, a 17-year-old high school student awoke in the early hours of the day to kill his parents and his sisters in their home. He then kidnapped his prom date at gunpoint and brought her to a classroom, where he held her, a teacher and 22 students hostage before being detained by police.",arrested,one,4,0,4,0,17,-999,-999,No,"White, White American or European American",Male,38.95130818,-84.67066339
116,Fairchild Air Force Base Hospital,"Fairchild AFB, Washington",06/20/94,Hospital/Health Clinic,hospital,Close,psychologist+psychiatrist,anger,"On June 20, 1994, a 20-year-old discharged technician at the Fairchild Air Force Base Hospital outside of Spokane, Washington entered the office of the psychologist and psychiatrist that first diagnosed him to be unfit for service, shot and killed them both. He continued shooting at patients and visitors at the hospital, killing a young boy, the wife of a retired serviceman and wounding twenty-three more before being killed by a military police officer.",killed,one,4,23,27,0,20,0,-999,Yes,"White, White American or European American",Male,47.618456,-117.644099
117,Montclair Post Office,"Montclair, New Jersey",03/21/95,Former Workplace,Post Office in Montclair,Close,random,unemployement,"On March 21, 1995, a 29-year-old former postal laborer entered a post office in Montclair, New Jersey, and robbed the employees at gunpoint. He then killed two postal workers, two customers and wounded another man before fleeing the scene. He was later arrested in his apartment.",arrested,one,4,1,5,0,29,0,-999,No,"White, White American or European American",Male,40.826184,-74.20862
118,R.E. Phelon Company,"Aiken, South Carolina",09/15/97,Former Workplace,R.R. Phelon Company,Open+Close,Ex-Coworkers,unemployement,"On September 15, 1997, Ex-con Hastings Arthur Wise a 43-year-old former employee of the R.E. Phelon Company in Aiken, South Carolina arrived at the plant and shot the security guard in the parking lot. He then entered the facility and began shooting his former coworkers, killing four and wounding two others. He attempted suicide with insecticide, but was unsuccessful and eventually arrested.",arrested,one,4,3,7,1,43,0,-999,No,"Black, Black American or African American",Male,33.47524551,-81.72595949
119,Connecticut State Lottery Headquarters,"Newington, Connecticut",03/06/98,Current Workplace,Workplace,Close,Coworkers,anger,"On March 6, 1998, a 35-year-old disgruntled employee of the State Lottery in Newington, Connecticut arrived at his workplace and began shooting. He killed four of his coworkers and supervisors before committing suicide./ Lottery worker Matthew Beck, 35, gunned down four bosses over a salary dispute before committing suicide.",committed suicide,one,4,0,4,0,35,1,State Lottery,Yes,"White, White American or European American",Male,41.68700845,-72.73083927
120,Thurston High School,"Springfield, Oregon",05/21/98,Home + School,Home+School,Close,Students+Parents,psycho,"On May 21, 1998, a 15-year-old student at Thurston High School in Springfield, Oregon arrived on campus the day after killing both his parents with firearms in their home. He began shooting at the students, killing two and wounding twenty-five others before being arrested.",arrested,one,4,25,29,0,15,-999,-999,Yes,"White, White American or European American",Male,44.05489698,-123.0075562
121,Damageplan show at the Alrosa Villa Nightclub,"Columbus, Ohio",12/08/04,Public area,Other than workplace,Open+Close,random,frustration,"On December 8, 2004, a 25-year-old former mechanic for the US Marine Corps shot and killed the lead guitarist in the band Damageplan before shooting into the crowd at a concert at the Alrosa Villa Nightclub in Columbus, Ohio. Apparently upset by the breakup of the band Pantera, the shooter killed an additional three and wounded seven before being killed by police backstage.",killed,one,4,7,11,0,25,-999,-999,Yes,"White, White American or European American",Male,39.98861445,-82.98904135
